,#commits,duration,max y,max y pos,mean y,median y,sum y,peakup,avg delta ups,min amplitude,avg amplitude,max amplitude,mean +gradient,mean -gradient
3076,790.0,216.0,39.0,198.0,3.65740740741,1.0,790.0,49.0,4.39583333333,0.025641025641,0.140763997907,0.538461538462,2.63698630137,-5.60869565217
3077,10235.0,452.0,228.0,5.0,22.6438053097,12.5,10235.0,136.0,3.3037037037,0.00438596491228,0.0677244582043,0.40350877193,13.56,-13.4867256637
3078,2398.0,226.0,108.0,136.0,10.610619469,7.0,2398.0,67.0,3.37878787879,0.0185185185185,0.103233830846,0.833333333333,8.16535433071,-10.5
3079,1578.0,227.0,45.0,128.0,6.95154185022,5.0,1578.0,62.0,3.60655737705,0.0222222222222,0.174910394265,0.888888888889,4.83720930233,-6.44329896907
3080,341.0,198.0,28.0,4.0,1.72222222222,0.0,341.0,40.0,4.89743589744,0.0357142857143,0.1875,1.0,1.55319148936,-3.89285714286
3081,336.0,170.0,56.0,3.0,1.97647058824,0.0,336.0,9.0,19.5,0.0178571428571,0.246031746032,0.678571428571,1.07006369427,-14.8333333333
3082,450.0,249.0,45.0,77.0,1.80722891566,0.0,450.0,23.0,8.40909090909,0.0222222222222,0.161352657005,0.688888888889,1.01435406699,-6.02564102564
3083,567.0,216.0,15.0,41.0,2.625,2.0,567.0,59.0,3.60344827586,0.0666666666667,0.228248587571,0.8,1.91472868217,-2.88372093023
3084,473.0,214.0,12.0,64.0,2.21028037383,2.0,473.0,60.0,3.47457627119,0.0833333333333,0.238888888889,0.583333333333,1.56818181818,-2.67901234568
3085,1625.0,216.0,33.0,183.0,7.52314814815,5.5,1625.0,63.0,3.37096774194,0.030303030303,0.171236171236,0.606060606061,4.13043478261,-4.59
3086,3654.0,441.0,46.0,317.0,8.28571428571,6.0,3654.0,136.0,3.21481481481,0.0217391304348,0.171835038363,0.673913043478,5.69709543568,-7.0351758794
3087,5021.0,214.0,76.0,176.0,23.4626168224,22.0,5021.0,57.0,3.75,0.0131578947368,0.144506001847,0.447368421053,8.26890756303,-10.2872340426
3088,629.0,216.0,19.0,61.0,2.91203703704,2.0,629.0,55.0,3.88888888889,0.0526315789474,0.17033492823,0.631578947368,1.89312977099,-2.91666666667
3089,998.0,213.0,26.0,15.0,4.68544600939,4.0,998.0,61.0,3.45,0.0384615384615,0.156368221942,0.769230769231,2.95726495726,-3.57894736842
3090,3003.0,183.0,93.0,28.0,16.4098360656,6.0,3003.0,50.0,3.63265306122,0.010752688172,0.155053763441,0.870967741935,9.80188679245,-13.6578947368
3091,694.0,213.0,29.0,14.0,3.25821596244,2.0,694.0,56.0,3.69090909091,0.0344827586207,0.120073891626,0.344827586207,2.1171875,-3.2380952381
3092,503.0,198.0,53.0,103.0,2.5404040404,0.0,503.0,33.0,5.5625,0.0188679245283,0.158947970269,0.811320754717,2.17218543046,-7.9347826087
3093,2371.0,213.0,66.0,6.0,11.1314553991,8.0,2371.0,62.0,3.37704918033,0.0151515151515,0.10972629521,0.5,5.74336283186,-6.73737373737
3094,413.0,208.0,14.0,34.0,1.98557692308,1.0,413.0,59.0,3.34482758621,0.0714285714286,0.192493946731,1.0,1.57936507937,-2.56790123457
3095,445.0,189.0,15.0,46.0,2.3544973545,1.0,445.0,49.0,3.83333333333,0.0666666666667,0.322448979592,1.0,2.16260162602,-4.23076923077
3096,5383.0,294.0,86.0,261.0,18.3095238095,16.0,5383.0,78.0,3.74025974026,0.0116279069767,0.145050685748,0.674418604651,7.93333333333,-10.203125
3097,101.0,62.0,24.0,14.0,1.62903225806,0.0,101.0,4.0,3.66666666667,0.0416666666667,0.34375,0.625,0.777777777778,-7.71428571429
3098,819.0,186.0,49.0,3.0,4.40322580645,2.0,819.0,53.0,3.46153846154,0.0204081632653,0.114747785907,0.714285714286,3.48648648649,-5.7027027027
3099,363.0,161.0,39.0,53.0,2.25465838509,0.0,363.0,30.0,5.06896551724,0.025641025641,0.105128205128,0.461538461538,1.432,-5.82857142857
3100,572.0,417.0,17.0,336.0,1.37170263789,0.0,572.0,77.0,5.44736842105,0.0588235294118,0.182582123759,0.764705882353,0.900621118012,-3.07446808511
3101,5429.0,503.0,160.0,320.0,10.7932405567,4.0,5429.0,133.0,3.76515151515,0.00625,0.0776315789474,0.95625,7.27622377622,-9.61111111111
3102,8030.0,418.0,189.0,177.0,19.2105263158,15.0,8030.0,127.0,3.26984126984,0.00529100529101,0.101862267217,1.0,12.7305936073,-14.0757575758
3103,1527.0,191.0,43.0,17.0,7.99476439791,5.0,1527.0,65.0,2.875,0.0232558139535,0.30518783542,1.0,8.48598130841,-11.0240963855
3104,10943.0,183.0,1091.0,30.0,59.7978142077,38.0,10943.0,58.0,3.15789473684,0.000916590284143,0.06872846803,0.998166819432,59.4285714286,-50.9183673469
3106,389.0,563.0,11.0,390.0,0.690941385435,0.0,389.0,81.0,6.775,0.0909090909091,0.218855218855,1.0,0.503282275711,-2.21904761905
3107,214.0,131.0,30.0,53.0,1.63358778626,0.0,214.0,13.0,9.75,0.0333333333333,0.264102564103,0.9,1.13513513514,-6.63157894737
3108,5095.0,183.0,114.0,104.0,27.8415300546,23.0,5095.0,58.0,3.14035087719,0.00877192982456,0.183303085299,0.622807017544,16.0303030303,-20.1445783133
